,hotel_id,hotel_name,first recommendation,distance 1,second recommendation,distance 2,thrid recommendation,distance 3
743,6510520,Hilton Garden Inn New York/Midtown Park Ave,Hilton Garden Inn New York/West 35th Street,0.8953867277090093,Hilton Garden Inn New York/Manhattan-Midtown East,0.908222112723206,Hilton Garden Inn Times Square,0.9315171871787159
744,6620856,TEN15NYC,RIFF Downtown,0.7705842661294383,Downtown Luxury Collection,0.8377785788692375,Washington Street Apartments at Marbella,0.8675467642934956
745,7772856,Quality Inn,Howard Johnson by Wyndham Brooklyn,0.29289321881345254,The Ultimate,0.6464466094067263,Red Carpet Inn,0.6464466094067263
746,12197432,The James New York-NoMad,The James New York - SoHo,0.8586747507097316,The Roger,0.8967623449667452,The NoMad Hotel New York,0.9060242653690566
747,15751224,NY Away - Luxury Apartments in the Financial District,Studio-plus Apartment,0.8989847455447789,Mr. C Seaport,0.9228483250189541,The Wall Street Inn,0.9519984639262681
748,93489,Murray Hill East Suites,The Milburn Hotel,0.9013606076167856,Brooklyn Suites,0.9292893218813453,The William,0.942530422886731
749,126257,Hotel 31,Royal Park Hotel,0.8704871030838228,Saint Nicholas Inn,0.8708100736289099,The Jane,0.8716001057127519
750,1371825,AKA Smyth Tribeca,Duane Street Hotel,0.8210399795836432,AKA Wall Street,0.8890216256529981,The Frederick Hotel,0.9043648428948661
751,1484593,Ramada by Wyndham Long Island City,La Quinta Inn Queens (New York City),0.7321950647571176,Queens County Inn and Suites Long Island City,0.7686856790721304,Howard Johnson by Wyndham Long Island City,0.8061782545046405
752,1484721,Brooklyn Suites Classon Ave,Brooklyn Suites,0.75,McCarren Hotel & Pool,0.9063414188418306,Hotel BPM Brooklyn,0.9094642539574814
753,1719217,Sheraton Brooklyn New York Hotel,Holiday Inn Brooklyn Downtown,0.7534015190419642,New York Marriott at the Brooklyn Bridge,0.7624321052722361,Hotel Indigo,0.7912018866368673
754,1917361,Easyliving-harlem,The West Townhouse,0.746453723581445,San Fermin B&B,0.7664503167515431,Parkside Bed & Breakfast,0.7763932022500211
755,7778097,EVEN Hotel Times Square South,Crowne Plaza HY36 Midtown Manhattan,0.8283977795447381,EVEN Hotel New York - Midtown East,0.8689716167927305,Hotel 50 Bowery NYC,0.9034065108802979
756,11768753,Motel 6 Long Island City - Queens,Feather Factory Hotel,0.7829034636580547,Howard Johnson by Wyndham Long Island City,0.8771953156245189,Days Inn by Wyndham Long Island City,0.8809954744362971
757,14080305,Hotel Nirvana,Feather Factory Hotel,0.7628148026801728,Voyage Hotel,0.7941472211289947,Queens County Inn and Suites Long Island City,0.8283297793849285
758,93618,Waldorf Astoria New York,The Plaza,0.9217672083041348,Lotte New York Palace,0.9492268495038373,The St. Regis New York,0.9517013979049713
759,99762,Hotel Giraffe by Library Hotel Collection,Casablanca Hotel by Library Hotel Collection,0.6736107264764364,Library Hotel by Library Hotel Collection,0.6798051736182071,Hotel 50 Bowery NYC,0.8214067939754768
760,320562,YourStay MidTown Apartments,Oakwood at 6th Avenue,0.7763932022500211,Times Square Towers,0.841886116991581,AKA United Nations,0.8974021647914846
761,15641394,Resavoir Apartments,Novotel New York Times Square,1.0,Rostel,1.0,Times Square Beds,1.0
762,112066,The Maxwell New York City,"The Lexington Hotel, Autograph Collection",0.85772815668473,Hudson New York,0.8899749576452217,Renaissance New York Hotel 57,0.9086914750154076
763,589506,Bridgestreet The Sheffield,Dream Midtown,0.9594779550763446,InterContinental New York Times Square,0.9728035853389789,Hudson New York,0.9782865083646026
764,609346,Candy Hill Harlem,The Gallery House,0.6464466094067263,Harlem Grand,0.8663693790437879,Heart of Harlem,0.8709005551264195
765,609602,Seafarers & International House,U.S. Pacific Hotel,0.8663369010700536,Hotel 31,0.8799726000366639,Leo House,0.8855593918115813
766,1026626,Ravel Hotel Trademark Collection,The Paper Factory Hotel,0.832142643293532,Boro Hotel,0.8405294594612982,Z NYC Hotel,0.8787761968509178
767,1034306,Travelodge by Wyndham Jersey City,Kennedy Suites,0.6220355269907728,Cesar Suites At Harborside,0.6220355269907728,Pelican New Jersey Residences,0.6726731646460113
768,1151170,The New York Loft Hostel,Hotel Lynx,0.8075499102701247,J-Stel,0.882148869802242,Urban Cowboy B&B,0.894590744661054
769,1203394,Lafayette International Guesthouse,Shepherd Guest House,0.6464466094067263,Bella Guest House,0.6464466094067263,U Hotel,0.7113248654051871
770,1544386,Brooklyns Best,Novotel New York Times Square,1.0,Times Square Beds,1.0,The Assemblage John Street,1.0
771,2309186,"The LOOK Hotel, Red Hook, an Ascend Hotel Collection Member",Hotel BPM Brooklyn,0.8973421133756267,Brooklyn Motor Inn,0.8989847455447789,Super 8 by Wyndham Brooklyn / Park Slope Hotel,0.9109129193625252
772,2410178,East River by Central Park Suites,Solita Soho Hotel,0.9226176767465863,DoubleTree Suites by Hilton Hotel New York City - Times Square,0.964078939594645,Park Lane Hotel,0.9666481327017465
773,7593282,Willamsburg Apartments,770Suites,0.5000000000000001,Sheraton Brooklyn New York Hotel,0.8989847455447789,Fairfield Inn & Suites New York Brooklyn,0.9063414188418306
774,13338562,Dekalb Homestay,YOTEL New York,1.0,Novotel New York Times Square,1.0,The Assemblage John Street,1.0
775,93627,West Side YMCA,The Vanderbilt YMCA,0.6741854174088162,Broadway Hotel and Hostel,0.8035035708813512,The Harlem YMCA,0.8185939364096927
